,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
0,TYNIECKA,167N,2_LOK,81.25,4.0,1.0,820348,10097,11656,12421,14775,11184,12241,12056,7566,Dzielnica VIII Dębniki,"(50.02630093399495, 19.8491544711459)",pierwotny,2025-03-27,2025
1,POD STOKIEM,39,7_LOK,47.81,3.0,5.0,579120,12113,12107,11745,18963,11747,16577,15395,6330,Dzielnica VII Zwierzyniec,"(50.07159684384978, 19.851864404616457)",wtorny,2024-08-01,2024
2,SZASERÓW,11,1_LOK,132.82,6.0,1.0,1970000,14832,16209,17586,18963,16209,15857,15857,8229,Dzielnica VII Zwierzyniec,"(50.075006933676256, 19.82583757580098)",pierwotny,2025-10-24,2025
3,POWSTANIA STYCZNIOWEGO,2CA,2_LOK,90.18,4.0,1.0,1430000,15857,16893,17928,18963,16893,14832,14832,8006,Dzielnica VII Zwierzyniec,"(50.07480316242564, 19.828947737144066)",wtorny,2024-04-22,2024
4,TYNIECKA,167K,1_LOK,81.51,4.0,1.0,945783,11603,11585,12421,14775,10883,11990,11919,7554,Dzielnica VIII Dębniki,"(50.026715468663554, 19.848950508819062)",pierwotny,2025-07-24,2025
5,TYNIECKA,195A,1_LOK,60.49,3.0,1.0,678878,11223,12407,12421,14775,11530,13029,12195,7945,Dzielnica VIII Dębniki,"(50.02587313528822, 19.84337479052566)",pierwotny,2024-11-29,2024
6,TYNIECKA,167K,2_LOK,81.58,4.0,1.0,943583,11566,11585,12421,14775,10883,11990,11919,7554,Dzielnica VIII Dębniki,"(50.026715468663554, 19.848950508819062)",pierwotny,2025-09-19,2025
7,TYNIECKA,171B,2_LOK,67.02,4.0,2.0,1174500,17525,16608,12421,14775,16608,11183,11183,7758,Dzielnica VIII Dębniki,"(50.02684466334809, 19.8455120065747)",wtorny,2024-01-08,2024
8,TYNIECKA,195B,1_LOK,59.98,3.0,1.0,700000,11671,11626,12421,14775,11381,12917,12154,7923,Dzielnica VIII Dębniki,"(50.02584315582265, 19.843752813666313)",pierwotny,2024-11-28,2024
9,CHEŁMSKA,41G,2_LOK,73.28,3.0,1.0,1120000,15284,16510,16676,18963,16510,16510,16510,7058,Dzielnica VII Zwierzyniec,"(50.06287699970743, 19.84045213186028)",wtorny,2024-10-18,2024
10,CHEŁMSKA,6,9_LOK,51.89,3.0,1.0,736139,14187,15782,16676,18963,15782,16915,15122,6418,Dzielnica VII Zwierzyniec,"(50.067846891016465, 19.84983176174497)",pierwotny,2024-02-15,2024
11,NIEZAPOMINAJEK,3,14_LOK,75.92,3.0,2.0,970000,12777,13290,14390,18963,10917,10917,15209,6742,Dzielnica VII Zwierzyniec,"(50.06850977785491, 19.845386174672832)",wtorny,2024-03-28,2024
